date,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,2,3,4,5,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,percent_20,percent_30,percent_40,percent_50,hap,avg,grade,
2017-04-13,193,103,70,49,38,34,28,19,16,13,2,1,0,0,25,13.34,9.07,6.35,4.92,4.4,3.63,2.46,2.07,1.68,0.26,0.13,0,0,98.775,0.1281128405,1,[1]
2017-04-19,120,45,25,15,11,9,7,7,6,6,0,0,0,0,15.54,5.83,3.24,1.94,1.42,1.17,0.91,0.91,0.78,0.78,0,0,0,0,58.4318,0.0757870298,0,[0]
2017-04-21,304,187,146,115,96,73,58,44,37,32,2,0,0,0,39.38,24.22,18.91,14.9,12.44,9.46,7.51,5.7,4.79,4.15,0.26,0,0,0,154.3191,0.2001544747,1,[2]
2017-04-22,238,120,79,56,48,43,42,42,38,34,13,12,7,3,30.83,15.54,10.23,7.25,6.22,5.57,5.44,5.44,4.92,4.4,1.68,1.55,0.91,0.39,193.21342,0.2506010636,1,[1]
2017-04-24,182,84,59,45,37,31,26,21,20,16,2,0,0,0,23.58,10.88,7.64,5.83,4.79,4.02,3.37,2.72,2.59,2.07,0.26,0,0,0,94.94182,0.1231411414,0,[1]
2017-05-01,129,25,6,2,0,0,0,0,0,0,0,0,0,0,16.71,3.24,0.78,0.26,0,0,0,0,0,0,0,0,0,0,45.7408,0.0593265888,0,[0]
2017-05-02,344,156,91,51,35,23,9,6,4,2,0,0,0,0,44.56,20.21,11.79,6.61,4.53,2.98,1.17,0.78,0.52,0.26,0,0,0,0,107.0638,0.1388635538,2,[1]
2017-05-15,280,144,108,92,85,78,73,68,66,65,19,17,15,14,36.27,18.65,13.99,11.92,11.01,10.1,9.46,8.81,8.55,8.42,2.46,2.2,1.94,1.81,331.66378,0.4301735149,1,[3]
2017-05-17,161,12,3,1,0,0,0,0,0,0,0,0,0,0,20.85,1.55,0.39,0.13,0,0,0,0,0,0,0,0,0,0,47.50859,0.0616194423,0,[0]
2017-05-18,204,119,80,65,49,42,34,29,24,17,0,0,0,0,26.42,15.41,10.36,8.42,6.35,5.44,4.4,3.76,3.11,2.2,0,0,0,0,104.1299,0.1350582361,1,[1]
2017-05-22,206,70,38,23,12,8,4,2,1,0,0,0,0,0,26.68,9.07,4.92,2.98,1.55,1.04,0.52,0.26,0.13,0,0,0,0,0,67.5503,0.0876138781,1,[1]
2017-05-23,400,235,158,122,93,77,63,49,39,31,3,1,1,1,51.81,30.44,20.47,15.8,12.05,9.97,8.16,6.35,5.05,4.02,0.39,0.13,0.13,0.13,187.2509,0.2428675746,2,[2]
2017-05-25,231,107,86,77,77,73,64,62,61,58,16,7,0,0,29.92,13.86,11.14,9.97,9.97,9.46,8.29,8.03,7.9,7.51,2.07,0.91,0,0,195.199,0.2531763943,1,[1]
2017-05-30,359,189,120,78,50,33,26,20,16,10,1,1,0,0,46.5,24.48,15.54,10.1,6.48,4.27,3.37,2.59,2.07,1.3,0.13,0.13,0,0,130.4232,0.1691610895,2,[2]
2017-06-02,140,26,18,16,10,9,8,7,5,5,1,1,1,1,18.13,3.37,2.33,2.07,1.3,1.17,1.04,0.91,0.65,0.65,0.13,0.13,0.13,0.13,62.5961,0.0811881971,0,[0]
2017-06-05,288,106,64,38,21,11,10,6,5,2,0,0,0,0,37.31,13.73,8.29,4.92,2.72,1.42,1.3,0.78,0.65,0.26,0,0,0,0,90.9421,0.1179534371,1,[1]
2017-06-09,362,239,179,145,121,107,91,82,75,68,11,1,0,0,46.89,30.96,23.19,18.78,15.67,13.86,11.79,10.62,9.72,8.81,1.42,0.13,0,0,227.6473,0.2952623865,2,[2]
2017-06-10,464,265,180,127,93,80,63,54,45,41,2,1,0,0,60.1,34.33,23.32,16.45,12.05,10.36,8.16,6.99,5.83,5.31,0.26,0.13,0,0,199.0092,0.2581182879,2,[2]
2017-06-14,314,191,142,119,102,94,90,86,82,79,29,16,7,1,40.67,24.74,18.39,15.41,13.21,12.18,11.66,11.14,10.62,10.23,3.76,2.07,0.91,0.13,299.3444,0.3882547341,3,[3]
2017-06-15,116,44,25,15,8,7,4,3,2,1,0,0,0,0,15.03,5.7,3.24,1.94,1.04,0.91,0.52,0.39,0.26,0.13,0,0,0,0,51.1139,0.0662955901,0,[0]
2017-06-19,292,163,103,69,52,37,30,24,18,12,1,0,0,0,37.82,21.11,13.34,8.94,6.74,4.79,3.89,3.11,2.33,1.55,0.13,0,0,0,116.7519,0.1514291829,1,[1]
2017-06-20,436,298,226,171,130,102,75,52,34,21,0,0,0,0,56.48,38.6,29.27,22.15,16.84,13.21,9.72,6.74,4.4,2.72,0,0,0,0,192.6899,0.2499220493,2,[2]
2017-06-21,329,226,172,145,119,107,99,86,76,74,17,12,8,4,42.62,29.27,22.28,18.78,15.41,13.86,12.82,11.14,9.84,9.59,2.2,1.55,1.04,0.52,280.5548,0.3638843061,2,[3]
