date,25,50,100,150,200,250,300,350,400,450,500,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,percent_11,hap(y2-y1),hap(raw),avg,grade
2017-04-13,140,102,63,34,23,16,14,9,7,4,3,18.13,13.21,8.16,4.4,2.98,2.07,1.81,1.17,0.91,0.52,0.39,22385.44,3990033.9799999977,29.034293125810635,0
2017-04-19,60,45,18,10,6,5,4,2,1,1,1,7.77,5.83,2.33,1.3,0.78,0.65,0.52,0.26,0.13,0.13,0.13,11602.93,4041571.9699999974,15.049195849546045,0
2017-04-21,241,161,94,50,31,17,8,4,1,0,0,31.22,20.85,12.18,6.48,4.02,2.2,1.04,0.52,0.13,0.0,0.0,29701.510000000002,4157289.4700000044,38.52335927367056,3
2017-04-22,156,110,67,42,32,28,28,25,24,24,24,20.21,14.25,8.68,5.44,4.15,3.63,3.63,3.24,3.11,3.11,3.11,40208.23999999996,3990230.8999999985,52.15076523994807,1
2017-04-24,116,67,38,24,13,8,5,5,4,2,2,15.03,8.68,4.92,3.11,1.68,1.04,0.65,0.65,0.52,0.26,0.26,17265.359999999993,4098910.8499999987,22.393463035019447,0
2017-05-01,78,25,0,0,0,0,0,0,0,0,0,10.1,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8962.760000000002,3972859.6000000006,11.624850843060962,0
2017-05-02,234,104,27,5,1,0,0,0,0,0,0,30.31,13.47,3.5,0.65,0.13,0.0,0.0,0.0,0.0,0.0,0.0,19244.619999999995,3990321.1599999964,24.960596627756154,1
2017-05-15,214,116,84,71,64,59,50,41,39,37,36,27.72,15.03,10.88,9.2,8.29,7.64,6.48,5.31,5.05,4.79,4.66,71935.98000000001,4224661.329999996,93.30217898832686,3
2017-05-17,49,7,0,0,0,0,0,0,0,0,0,6.35,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8445.989999999994,4051023.170000003,10.95459143968871,0
2017-05-18,158,94,48,30,16,11,8,3,2,1,1,20.47,12.18,6.22,3.89,2.07,1.42,1.04,0.39,0.26,0.13,0.13,19771.880000000023,4016657.4199999953,25.644461738002622,0
2017-05-22,122,42,9,1,0,0,0,0,0,0,0,15.8,5.44,1.17,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11862.73,4025900.549999998,15.386160830090791,0
2017-05-23,358,188,86,50,26,16,11,8,3,3,3,46.37,24.35,11.14,6.48,3.37,2.07,1.42,1.04,0.39,0.39,0.39,36038.07000000005,4446031.089999999,46.74198443579773,4
2017-05-25,138,91,77,63,58,52,44,40,34,29,27,17.88,11.79,9.97,8.16,7.51,6.74,5.7,5.18,4.4,3.76,3.5,38223.92000000001,4158432.6500000004,49.57706874189366,2
2017-05-30,277,133,37,14,5,4,2,2,2,1,1,35.88,17.23,4.79,1.81,0.65,0.52,0.26,0.26,0.26,0.13,0.13,22763.58000000003,4081109.240000007,29.524747081712103,2
2017-06-02,52,19,10,5,4,4,3,2,2,2,2,6.74,2.46,1.3,0.65,0.52,0.52,0.39,0.26,0.26,0.26,0.26,11174.879999999986,4121777.930000003,14.49400778210115,1
2017-06-05,170,70,11,6,1,1,0,0,0,0,0,22.02,9.07,1.42,0.78,0.13,0.13,0.0,0.0,0.0,0.0,0.0,15731.120000000017,4133725.9700000007,20.403527885862538,1
