date,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,2,3,4,5,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,percent_20,percent_30,percent_40,percent_50,hap(y2-y1),hap(raw),avg,grade
2017-04-13,193,103,70,49,38,34,28,19,16,13,2,1,0,0,25.0,13.34,9.07,6.35,4.92,4.4,3.63,2.46,2.07,1.68,0.26,0.13,0.0,0.0,98.77499999999995,15346.2088,0.128112840466926,2
2017-04-19,120,45,25,15,11,9,7,7,6,6,0,0,0,0,15.54,5.83,3.24,1.94,1.42,1.17,0.91,0.91,0.78,0.78,0.0,0.0,0.0,0.0,58.43180000000012,15767.203400000004,0.07578702983138796,0
2017-04-21,304,187,146,115,96,73,58,44,37,32,2,0,0,0,39.38,24.22,18.91,14.9,12.44,9.46,7.51,5.7,4.79,4.15,0.26,0.0,0.0,0.0,154.31910000000008,16430.909300000014,0.2001544747081713,1
2017-04-22,238,120,79,56,48,43,42,42,38,34,13,12,7,3,30.83,15.54,10.23,7.25,6.22,5.57,5.44,5.44,4.92,4.4,1.68,1.55,0.91,0.39,193.21341999999996,15442.131180000011,0.25060106355382616,2
2017-04-24,182,84,59,45,37,31,26,21,20,16,2,0,0,0,23.58,10.88,7.64,5.83,4.79,4.02,3.37,2.72,2.59,2.07,0.26,0.0,0.0,0.0,94.94182000000006,16081.127289999991,0.12314114137483796,0
2017-05-01,129,25,6,2,0,0,0,0,0,0,0,0,0,0,16.71,3.24,0.78,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.74079999999999,15574.505500000005,0.05932658884565498,0
2017-05-02,344,156,91,51,35,23,9,6,4,2,0,0,0,0,44.56,20.21,11.79,6.61,4.53,2.98,1.17,0.78,0.52,0.26,0.0,0.0,0.0,0.0,107.06380000000017,15682.7804,0.13886355382619997,2
2017-05-15,280,144,108,92,85,78,73,68,66,65,19,17,15,14,36.27,18.65,13.99,11.92,11.01,10.1,9.46,8.81,8.55,8.42,2.46,2.2,1.94,1.81,331.6637799999998,16896.67624000001,0.43017351491569367,2
2017-05-17,161,12,3,1,0,0,0,0,0,0,0,0,0,0,20.85,1.55,0.39,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.50859000000003,15960.78517000001,0.06161944228274971,0
2017-05-18,204,119,80,65,49,42,34,29,24,17,0,0,0,0,26.42,15.41,10.36,8.42,6.35,5.44,4.4,3.76,3.11,2.2,0.0,0.0,0.0,0.0,104.12989999999996,15860.730299999987,0.13505823605706868,1
2017-05-22,206,70,38,23,12,8,4,2,1,0,0,0,0,0,26.68,9.07,4.92,2.98,1.55,1.04,0.52,0.26,0.13,0.0,0.0,0.0,0.0,0.0,67.5503,15989.373600000017,0.08761387808041504,1
2017-05-23,400,235,158,122,93,77,63,49,39,31,3,1,1,1,51.81,30.44,20.47,15.8,12.05,9.97,8.16,6.35,5.05,4.02,0.39,0.13,0.13,0.13,187.25090000000026,18262.11960000003,0.24286757457846986,3
2017-05-25,231,107,86,77,77,73,64,62,61,58,16,7,0,0,29.92,13.86,11.14,9.97,9.97,9.46,8.29,8.03,7.9,7.51,2.07,0.91,0.0,0.0,195.19900000000018,16563.222899999993,0.25317639429312605,2
2017-05-30,359,189,120,78,50,33,26,20,16,10,1,1,0,0,46.5,24.48,15.54,10.1,6.48,4.27,3.37,2.59,2.07,1.3,0.13,0.13,0.0,0.0,130.42319999999992,16273.507799999994,0.16916108949416334,2
2017-06-02,140,26,18,16,10,9,8,7,5,5,1,1,1,1,18.13,3.37,2.33,2.07,1.3,1.17,1.04,0.91,0.65,0.65,0.13,0.13,0.13,0.13,62.59610000000003,16469.588300000003,0.08118819714656295,0
2017-06-05,288,106,64,38,21,11,10,6,5,2,0,0,0,0,37.31,13.73,8.29,4.92,2.72,1.42,1.3,0.78,0.65,0.26,0.0,0.0,0.0,0.0,90.9421,16603.62739999996,0.11795343709468223,2
2017-06-09,362,239,179,145,121,107,91,82,75,68,11,1,0,0,46.89,30.96,23.19,18.78,15.67,13.86,11.79,10.62,9.72,8.81,1.42,0.13,0.0,0.0,227.64730000000003,16620.063899999994,0.29526238651102465,3
2017-06-10,464,265,180,127,93,80,63,54,45,41,2,1,0,0,60.1,34.33,23.32,16.45,12.05,10.36,8.16,6.99,5.83,5.31,0.26,0.13,0.0,0.0,199.0092,17167.50270000002,0.25811828793774316,3
2017-06-14,314,191,142,119,102,94,90,86,82,79,29,16,7,1,40.67,24.74,18.39,15.41,13.21,12.18,11.66,11.14,10.62,10.23,3.76,2.07,0.91,0.13,299.34440000000023,16806.063299999987,0.38825473411154376,4
2017-06-15,116,44,25,15,8,7,4,3,2,1,0,0,0,0,15.03,5.7,3.24,1.94,1.04,0.91,0.52,0.39,0.26,0.13,0.0,0.0,0.0,0.0,51.1139,15831.511299999996,0.06629559014267186,0
2017-06-19,292,163,103,69,52,37,30,24,18,12,1,0,0,0,37.82,21.11,13.34,8.94,6.74,4.79,3.89,3.11,2.33,1.55,0.13,0.0,0.0,0.0,116.75189999999988,16217.5717,0.15142918287937726,1
2017-06-20,436,298,226,171,130,102,75,52,34,21,0,0,0,0,56.48,38.6,29.27,22.15,16.84,13.21,9.72,6.74,4.4,2.72,0.0,0.0,0.0,0.0,192.68989999999982,17124.886700000003,0.2499220492866405,3
2017-06-21,329,226,172,145,119,107,99,86,76,74,17,12,8,4,42.62,29.27,22.28,18.78,15.41,13.86,12.82,11.14,9.84,9.59,2.2,1.55,1.04,0.52,280.5548,17040.133299999998,0.36388430609597927,3
2017-06-22,272,154,106,78,62,48,40,34,32,30,8,1,0,0,35.23,19.95,13.73,10.1,8.03,6.22,5.18,4.4,4.15,3.89,1.04,0.13,0.0,0.0,145.45189999999994,16780.607299999978,0.18865356679636827,2
2017-07-12,447,282,187,143,117,108,100,92,88,79,21,8,0,0,57.9,36.53,24.22,18.52,15.16,13.99,12.95,11.92,11.4,10.23,2.72,1.04,0.0,0.0,287.379,17917.85709999999,0.3727354085603113,4
