date,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,hap(y2-y1),hap(raw),avg,grade
2018-04-19,120,34,18,11,7,4,4,2,2,1,15.54,4.4,2.33,1.42,0.91,0.52,0.52,0.26,0.26,0.13,4.517846815999996,310.0563933439998,0.005859723496757453,1
2018-04-21,149,42,18,12,10,10,10,9,9,8,19.3,5.44,2.33,1.55,1.3,1.3,1.3,1.17,1.17,1.04,6.099133727999998,424.84752448699993,0.007910679284046691,2
2018-04-26,203,80,35,22,16,8,4,1,1,1,26.3,10.36,4.53,2.85,2.07,1.04,0.52,0.13,0.13,0.13,6.204804597,345.2242726780002,0.008047736182879378,4
2018-04-27,213,115,79,58,41,34,26,22,18,18,27.59,14.9,10.23,7.51,5.31,4.4,3.37,2.85,2.33,2.33,9.672064671,313.9809120310006,0.012544830961089493,4
2018-04-28,127,28,16,7,3,2,2,1,0,0,16.45,3.63,2.07,0.91,0.39,0.26,0.26,0.13,0.0,0.0,4.479848439000004,394.1472156769999,0.005810438961089499,1
2018-04-29,186,60,22,5,1,1,1,0,0,0,24.09,7.77,2.85,0.65,0.13,0.13,0.13,0.0,0.0,0.0,5.255489391999999,383.3559984579996,0.006816458355382619,1
2018-04-30,256,161,114,79,51,34,24,20,15,10,33.16,20.85,14.77,10.23,6.61,4.4,3.11,2.59,1.94,1.3,10.711125020000013,364.93235785999957,0.013892509753566814,4
2018-05-04,256,130,94,77,70,64,62,62,58,55,33.16,16.84,12.18,9.97,9.07,8.29,8.03,8.03,7.51,7.12,23.028330930000013,465.86732305999993,0.029868133501945542,4
2018-05-05,157,42,16,9,4,2,1,0,0,0,20.34,5.44,2.07,1.17,0.52,0.26,0.13,0.0,0.0,0.0,5.031761620000007,417.08608003000046,0.0065262796627756255,1
2018-05-08,194,105,65,44,23,15,9,6,6,6,25.13,13.6,8.42,5.7,2.98,1.94,1.17,0.78,0.78,0.78,7.353473079999998,333.07207337999995,0.00953757857328145,4
2018-05-10,273,137,98,68,46,31,24,16,13,12,35.36,17.75,12.69,8.81,5.96,4.02,3.11,2.07,1.68,1.55,10.392270689999993,501.4592208899998,0.013478950311284038,4
2018-05-14,349,235,168,132,104,79,67,57,44,37,45.21,30.44,21.76,17.1,13.47,10.23,8.68,7.38,5.7,4.79,17.77446460000005,315.20218677000054,0.023053780285343776,4
